Time: 6.800 ms, Membrane potential: -64.959 mV
Time: 6.825 ms, Membrane potential: -64.960 mV
Time: 6.850 ms, Membrane potential: -64.960 mV
Time: 6.875 ms, Membrane potential: -64.960 mV
Time: 6.900 ms, Membrane potential: -64.960 mV
Time: 6.925 ms, Membrane potential: -64.960 mV
Time: 6.950 ms, Membrane potential: -64.960 mV
Time: 6.975 ms, Membrane potential: -64.961 mV
Time: 7.000 ms, Membrane potential: -64.961 mV
Time: 7.025 ms, Membrane potential: -64.961 mV
Time: 7.050 ms, Membrane potential: -64.961 mV
Time: 7.075 ms, Membrane potential: -64.961 mV
Time: 7.100 ms, Membrane potential: -64.961 mV
Time: 7.125 ms, Membrane potential: -64.962 mV
Time: 7.150 ms, Membrane potential: -64.962 mV
Time: 7.175 ms, Membrane potential: -64.962 mV
Time: 7.200 ms, Membrane potential: -64.962 mV
Time: 7.225 ms, Membrane potential: -64.962 mV
Time: 7.250 ms, Membrane potential: -64.962 mV
Time: 7.275 ms, Membrane potential: -64.962 mV
Time: 7.300 ms, Membrane potential: -64.963 mV
Time: 7.325 ms, Membrane potential: -64.963 mV
Time: 7.350 ms, Membrane potential: -64.963 mV
Time: 7.375 ms, Membrane potential: -64.963 mV
Time: 7.400 ms, Membrane potential: -64.963 mV
Time: 7.425 ms, Membrane potential: -64.963 mV
Time: 7.450 ms, Membrane potential: -64.964 mV
Time: 7.475 ms, Membrane potential: -64.964 mV
Time: 7.500 ms, Membrane potential: -64.964 mV
Time: 7.525 ms, Membrane potential: -64.964 mV
Time: 7.550 ms, Membrane potential: -64.964 mV
Time: 7.575 ms, Membrane potential: -64.964 mV
Time: 7.600 ms, Membrane potential: -64.965 mV
Time: 7.625 ms, Membrane potential: -64.965 mV
Time: 7.650 ms, Membrane potential: -64.965 mV
Time: 7.675 ms, Membrane potential: -64.965 mV
Time: 7.700 ms, Membrane potential: -64.965 mV
Time: 7.725 ms, Membrane potential: -64.965 mV
Time: 7.750 ms, Membrane potential: -64.965 mV
Time: 7.775 ms, Membrane potential: -64.966 mV
Time: 7.800 ms, Membrane potential: -64.966 mV
Time: 7.825 ms, Membrane potential: -64.966 mV
Time: 7.850 ms, Membrane potential: -64.966 mV
Time: 7.875 ms, Membrane potential: -64.966 mV
Time: 7.900 ms, Membrane potential: -64.966 mV
Time: 7.925 ms, Membrane potential: -64.967 mV
Time: 7.950 ms, Membrane potential: -64.967 mV
Time: 7.975 ms, Membrane potential: -64.967 mV
Time: 8.000 ms, Membrane potential: -64.967 mV
Time: 8.025 ms, Membrane potential: -64.967 mV
Time: 8.050 ms, Membrane potential: -64.967 mV
Time: 8.075 ms, Membrane potential: -64.967 mV
Time: 8.100 ms, Membrane potential: -64.968 mV
Time: 8.125 ms, Membrane potential: -64.968 mV
Time: 8.150 ms, Membrane potential: -64.968 mV
Time: 8.175 ms, Membrane potential: -64.968 mV
Time: 8.200 ms, Membrane potential: -64.968 mV
Time: 8.225 ms, Membrane potential: -64.968 mV
Time: 8.250 ms, Membrane potential: -64.968 mV
Time: 8.275 ms, Membrane potential: -64.969 mV
Time: 8.300 ms, Membrane potential: -64.969 mV
Time: 8.325 ms, Membrane potential: -64.969 mV
Time: 8.350 ms, Membrane potential: -64.969 mV
Time: 8.375 ms, Membrane potential: -64.969 mV
Time: 8.400 ms, Membrane potential: -64.969 mV
Time: 8.425 ms, Membrane potential: -64.969 mV
Time: 8.450 ms, Membrane potential: -64.970 mV
Time: 8.475 ms, Membrane potential: -64.970 mV
Time: 8.500 ms, Membrane potential: -64.970 mV
Time: 8.525 ms, Membrane potential: -64.970 mV
Time: 8.550 ms, Membrane potential: -64.970 mV
Time: 8.575 ms, Membrane potential: -64.970 mV
Time: 8.600 ms, Membrane potential: -64.970 mV
Time: 8.625 ms, Membrane potential: -64.970 mV
Time: 8.650 ms, Membrane potential: -64.971 mV
Time: 8.675 ms, Membrane potential: -64.971 mV
Time: 8.700 ms, Membrane potential: -64.971 mV
Time: 8.725 ms, Membrane potential: -64.971 mV
Time: 8.750 ms, Membrane potential: -64.971 mV
Time: 8.775 ms, Membrane potential: -64.971 mV
Time: 8.800 ms, Membrane potential: -64.971 mV
Time: 8.825 ms, Membrane potential: -64.971 mV
Time: 8.850 ms, Membrane potential: -64.972 mV
Time: 8.875 ms, Membrane potential: -64.972 mV
Time: 8.900 ms, Membrane potential: -64.972 mV
Time: 8.925 ms, Membrane potential: -64.972 mV
Time: 8.950 ms, Membrane potential: -64.972 mV
Time: 8.975 ms, Membrane potential: -64.972 mV
Time: 9.000 ms, Membrane potential: -64.972 mV
Time: 9.025 ms, Membrane potential: -64.972 mV
Time: 9.050 ms, Membrane potential: -64.973 mV
Time: 9.075 ms, Membrane potential: -64.973 mV
Time: 9.100 ms, Membrane potential: -64.973 mV
Time: 9.125 ms, Membrane potential: -64.973 mV
Time: 9.150 ms, Membrane potential: -64.973 mV
Time: 9.175 ms, Membrane potential: -64.973 mV
Time: 9.200 ms, Membrane potential: -64.973 mV
Time: 9.225 ms, Membrane potential: -64.973 mV
Time: 9.250 ms, Membrane potential: -64.973 mV
Time: 9.275 ms, Membrane potential: -64.974 mV
Time: 9.300 ms, Membrane potential: -64.974 mV
Time: 9.325 ms, Membrane potential: -64.974 mV
Time: 9.350 ms, Membrane potential: -64.974 mV
Time: 9.375 ms, Membrane potential: -64.974 mV
Time: 9.400 ms, Membrane potential: -64.974 mV
Time: 9.425 ms, Membrane potential: -64.974 mV
Time: 9.450 ms, Membrane potential: -64.974 mV
Time: 9.475 ms, Membrane potential: -64.974 mV
Time: 9.500 ms, Membrane potential: -64.974 mV
Time: 9.525 ms, Membrane potential: -64.975 mV
Time: 9.550 ms, Membrane potential: -64.975 mV
Time: 9.575 ms, Membrane potential: -64.975 mV
Time: 9.600 ms, Membrane potential: -64.975 mV
Time: 9.625 ms, Membrane potential: -64.975 mV
Time: 9.650 ms, Membrane potential: -64.975 mV
Time: 9.675 ms, Membrane potential: -64.975 mV
Time: 9.700 ms, Membrane potential: -64.975 mV
Time: 9.725 ms, Membrane potential: -64.975 mV
Time: 9.750 ms, Membrane potential: -64.975 mV
Time: 9.775 ms, Membrane potential: -64.975 mV
Time: 9.800 ms, Membrane potential: -64.975 mV
Time: 9.825 ms, Membrane potential: -64.976 mV
Time: 9.850 ms, Membrane potential: -64.976 mV
Time: 9.875 ms, Membrane potential: -64.976 mV
Time: 9.900 ms, Membrane potential: -64.976 mV
Time: 9.925 ms, Membrane potential: -64.976 mV
Time: 9.950 ms, Membrane potential: -64.976 mV
Time: 9.975 ms, Membrane potential: -64.976 mV
Time: 10.000 ms, Membrane potential: -64.976 mV
Time: 10.025 ms, Membrane potential: -64.976 mV
Time: 10.050 ms, Membrane potential: -64.976 mV
Time: 10.075 ms, Membrane potential: -64.976 mV
Time: 10.100 ms, Membrane potential: -64.976 mV
Time: 10.125 ms, Membrane potential: -64.976 mV
Time: 10.150 ms, Membrane potential: -64.977 mV
Time: 10.175 ms, Membrane potential: -64.977 mV
Time: 10.200 ms, Membrane potential: -64.977 mV
Time: 10.225 ms, Membrane potential: -64.977 mV
Time: 10.250 ms, Membrane potential: -64.977 mV
Time: 10.275 ms, Membrane potential: -64.977 mV
Time: 10.300 ms, Membrane potential: -64.977 mV
Time: 10.325 ms, Membrane potential: -64.977 mV
Time: 10.350 ms, Membrane potential: -64.977 mV
Time: 10.375 ms, Membrane potential: -64.977 mV
Time: 10.400 ms, Membrane potential: -64.977 mV
Time: 10.425 ms, Membrane potential: -64.977 mV
Time: 10.450 ms, Membrane potential: -64.977 mV
Time: 10.475 ms, Membrane potential: -64.977 mV
Time: 10.500 ms, Membrane potential: -64.977 mV
Time: 10.525 ms, Membrane potential: -64.977 mV
Time: 10.550 ms, Membrane potential: -64.978 mV
Time: 10.575 ms, Membrane potential: -64.978 mV
Time: 10.600 ms, Membrane potential: -64.978 mV
Time: 10.625 ms, Membrane potential: -64.978 mV
Time: 10.650 ms, Membrane potential: -64.978 mV
Time: 10.675 ms, Membrane potential: -64.978 mV
Time: 10.700 ms, Membrane potential: -64.978 mV
Time: 10.725 ms, Membrane potential: -64.978 mV
Time: 10.750 ms, Membrane potential: -64.978 mV
Time: 10.775 ms, Membrane potential: -64.978 mV
Time: 10.800 ms, Membrane potential: -64.978 mV
Time: 10.825 ms, Membrane potential: -64.978 mV
Time: 10.850 ms, Membrane potential: -64.978 mV
Time: 10.875 ms, Membrane potential: -64.978 mV
Time: 10.900 ms, Membrane potential: -64.978 mV
Time: 10.925 ms, Membrane potential: -64.978 mV
Time: 10.950 ms, Membrane potential: -64.978 mV
Time: 10.975 ms, Membrane potential: -64.978 mV
Time: 11.000 ms, Membrane potential: -64.978 mV
Time: 11.025 ms, Membrane potential: -64.978 mV
Time: 11.050 ms, Membrane potential: -64.978 mV
Time: 11.075 ms, Membrane potential: -64.978 mV
Time: 11.100 ms, Membrane potential: -64.978 mV
Time: 11.125 ms, Membrane potential: -64.979 mV
Time: 11.150 ms, Membrane potential: -64.979 mV
Time: 11.175 ms, Membrane potential: -64.979 mV
Time: 11.200 ms, Membrane potential: -64.979 mV
Time: 11.225 ms, Membrane potential: -64.979 mV
Time: 11.250 ms, Membrane potential: -64.979 mV
Time: 11.275 ms, Membrane potential: -64.979 mV
Time: 11.300 ms, Membrane potential: -64.979 mV
Time: 11.325 ms, Membrane potential: -64.979 mV
Time: 11.350 ms, Membrane potential: -64.979 mV
Time: 11.375 ms, Membrane potential: -64.979 mV
Time: 11.400 ms, Membrane potential: -64.979 mV
Time: 11.425 ms, Membrane potential: -64.979 mV
Time: 11.450 ms, Membrane potential: -64.979 mV
Time: 11.475 ms, Membrane potential: -64.979 mV
Time: 11.500 ms, Membrane potential: -64.979 mV
Time: 11.525 ms, Membrane potential: -64.979 mV
Time: 11.550 ms, Membrane potential: -64.979 mV
Time: 11.575 ms, Membrane potential: -64.979 mV
Time: 11.600 ms, Membrane potential: -64.979 mV
Time: 11.625 ms, Membrane potential: -64.979 mV
Time: 11.650 ms, Membrane potential: -64.979 mV
Time: 11.675 ms, Membrane potential: -64.979 mV
Time: 11.700 ms, Membrane potential: -64.979 mV
Time: 11.725 ms, Membrane potential: -64.979 mV
Time: 11.750 ms, Membrane potential: -64.979 mV
Time: 11.775 ms, Membrane potential: -64.979 mV
Time: 11.800 ms, Membrane potential: -64.979 mV
Time: 11.825 ms, Membrane potential: -64.979 mV
Time: 11.850 ms, Membrane potential: -64.979 mV
Time: 11.875 ms, Membrane potential: -64.979 mV
Time: 11.900 ms, Membrane potential: -64.979 mV
Time: 11.925 ms, Membrane potential: -64.979 mV
Time: 11.950 ms, Membrane potential: -64.979 mV
Time: 11.975 ms, Membrane potential: -64.979 mV
Time: 12.000 ms, Membrane potential: -64.979 mV
Time: 12.025 ms, Membrane potential: -64.979 mV
Time: 12.050 ms, Membrane potential: -64.979 mV
Time: 12.075 ms, Membrane potential: -64.979 mV
Time: 12.100 ms, Membrane potential: -64.979 mV
Time: 12.125 ms, Membrane potential: -64.979 mV
Time: 12.150 ms, Membrane potential: -64.979 mV
Time: 12.175 ms, Membrane potential: -64.979 mV
Time: 12.200 ms, Membrane potential: -64.979 mV
Time: 12.225 ms, Membrane potential: -64.979 mV
Time: 12.250 ms, Membrane potential: -64.979 mV
Time: 12.275 ms, Membrane potential: -64.979 mV
Time: 12.300 ms, Membrane potential: -64.979 mV
Time: 12.325 ms, Membrane potential: -64.979 mV
Time: 12.350 ms, Membrane potential: -64.979 mV
Time: 12.375 ms, Membrane potential: -64.979 mV
Time: 12.400 ms, Membrane potential: -64.979 mV
Time: 12.425 ms, Membrane potential: -64.979 mV
Time: 12.450 ms, Membrane potential: -64.979 mV
Time: 12.475 ms, Membrane potential: -64.979 mV
Time: 12.500 ms, Membrane potential: -64.979 mV
Time: 12.525 ms, Membrane potential: -64.979 mV
Time: 12.550 ms, Membrane potential: -64.979 mV
Time: 12.575 ms, Membrane potential: -64.979 mV
Time: 12.600 ms, Membrane potential: -64.979 mV
Time: 12.625 ms, Membrane potential: -64.979 mV
Time: 12.650 ms, Membrane potential: -64.979 mV
Time: 12.675 ms, Membrane potential: -64.979 mV
Time: 12.700 ms, Membrane potential: -64.979 mV
Time: 12.725 ms, Membrane potential: -64.979 mV
Time: 12.750 ms, Membrane potential: -64.979 mV
Time: 12.775 ms, Membrane potential: -64.979 mV
Time: 12.800 ms, Membrane potential: -64.979 mV
Time: 12.825 ms, Membrane potential: -64.979 mV
Time: 12.850 ms, Membrane potential: -64.979 mV
Time: 12.875 ms, Membrane potential: -64.979 mV
Time: 12.900 ms, Membrane potential: -64.979 mV
Time: 12.925 ms, Membrane potential: -64.979 mV
Time: 12.950 ms, Membrane potential: -64.979 mV
Time: 12.975 ms, Membrane potential: -64.979 mV
Time: 13.000 ms, Membrane potential: -64.979 mV
Time: 13.025 ms, Membrane potential: -64.979 mV
Time: 13.050 ms, Membrane potential: -64.979 mV
Time: 13.075 ms, Membrane potential: -64.979 mV
Time: 13.100 ms, Membrane potential: -64.979 mV
Time: 13.125 ms, Membrane potential: -64.979 mV
Time: 13.150 ms, Membrane potential: -64.979 mV
Time: 13.175 ms, Membrane potential: -64.979 mV
Time: 13.200 ms, Membrane potential: -64.979 mV
Time: 13.225 ms, Membrane potential: -64.979 mV
Time: 13.250 ms, Membrane potential: -64.979 mV
Time: 13.275 ms, Membrane potential: -64.979 mV
Time: 13.300 ms, Membrane potential: -64.979 mV
Time: 13.325 ms, Membrane potential: -64.979 mV
Time: 13.350 ms, Membrane potential: -64.979 mV
